EG;OG;Heizlast_gesamt
43.21181905300001;11.157040024;54.36885907700001
43.60287623900001;11.258008711999999;54.86088495100001
43.99393342500001;11.358977399999999;55.35291082500001
44.384990611000006;11.459946087999999;55.844936699
44.58051920400001;11.510430432;56.09094963600001
44.97157639000001;11.61139912;56.58297551000001
45.167104983000016;11.661883464;56.828988447000015
45.36263357600001;11.712367808;57.075001384000004
45.327419814200006;11.700779180768;57.02819899496801
42.05134787560001;10.868125221184;52.91947309678401
39.16277632820001;10.143898741760001;49.30667506996001
36.891162587600014;9.574454251424001;46.465616839024015
35.60909097220001;9.252500768032;44.86159174023201
35.65877377260001;9.244241097887999;44.90301487048801
36.77553981140001;9.514909359296;46.29044917069601
39.73068406480001;10.261512215199998;49.99219628000001
41.84311890200001;10.803649616;52.64676851800001
41.84311890200001;10.803649616;52.64676851800001
41.84311890200001;10.803649616;52.64676851800001
41.84311890200001;10.803649616;52.64676851800001
41.84311890200001;10.803649616;52.64676851800001
41.64759030900001;10.753165271999999;52.400755581000006
41.64759030900001;10.753165271999999;52.400755581000006
41.64759030900001;10.753165271999999;52.400755581000006
41.45206171600001;10.702680928;52.15474264400001
41.45206171600001;10.702680928;52.15474264400001
41.06100453000001;10.601712240000001;51.66271677000002
40.66994734400001;10.500743552;51.17069089600001
40.47441875100001;10.450259208;50.92467795900001
40.27889015800001;10.399774864;50.67866502200001
40.08336156500001;10.34929052;50.432652085000015
39.887832972000005;10.298806176;50.186639148000005
39.65709061720001;10.236733204768;49.89382382196801
36.22737040280001;9.361053693344001;45.58842409614401
33.81005988100001;8.736995023936;42.547054904936005
32.468920020000006;8.391864286079999;40.860784306080006
29.537183216200006;7.667637806656;37.20482102285601
29.348023155800004;7.6047639574399994;36.95278711324001
29.72954588520001;7.693343140224001;37.42288902542401
32.52437530740001;8.40105027936;40.92542558676001
34.41303236800001;8.885244544;43.29827691200001
34.99961814700001;9.036697576;44.03631572300001
35.39067533300001;9.137666264;44.52834159700001
35.97726111200001;9.289119295999999;45.266380408
36.36831829800001;9.390087984;45.75840628200001
36.75937548400001;9.491056672;46.25043215600001
37.345961263000014;9.642509704000002;46.98847096700001
37.73701844900001;9.743478392;47.48049684100001
39.30124719300001;10.147353144;49.44860033700001
41.06100453000001;10.601712240000001;51.66271677000002
42.82076186700001;11.056071335999999;53.876833203000004
43.79840483200001;11.308493056;55.106897888000006
44.77604779700001;11.560914776;56.33696257300001
45.55816216900001;11.762852152;57.321014321000014
56.11670619100002;14.489006728;70.60571291900001
56.703291970000016;14.64045976;71.34375173000002
56.472549615200016;14.578386788768;71.05093640396802
25.676689573400015;8.0252062568;33.701895830200016
23.47712300300002;7.788628444256;31.265751447256022
25.587564528600005;8.556932243807998;34.144496772408004
28.994695719600013;9.376521265344;38.37121698494401
23.59844262400001;7.297226277759999;30.89566890176001
21.93006270860001;6.204566360863999;28.134629069464008
27.270562494000018;7.061198452896;34.33176094689602
47.70897669200001;12.318179936;60.02715662800001
48.882148250000014;12.621086;61.50323425000001
50.055319808000014;12.923992064;62.97931187200001
51.22849136600001;13.226898127999998;64.455389494
52.59719151700001;13.580288536000001;66.17748005300001
53.77036307500001;13.8831946;67.65355767500002
45.167104983000016;11.661883464;56.828988447000015
46.34027654100001;11.964789527999999;58.305066069000006
47.12239091300001;12.166726904;59.28911781700001
48.29556247100001;12.469632967999999;60.76519543900001
49.46873402900001;12.772539032;62.24127306100001
50.055319808000014;12.923992064;62.97931187200001
50.83743418000001;13.12592944;63.96336362000001
51.61954855200001;13.327866815999998;64.94741536800001
61.98256398100001;16.003537048;77.98610102900001
62.569149760000016;16.154990079999997;78.72413984000002
62.49872223640001;16.131812825536;78.63053506193602
32.66786094240002;9.815335551263999;42.48319649366402
29.585827482800013;9.409058165311997;38.99488564811201
32.84158225360001;10.440571434112;43.28215368771201
38.51677039040001;11.721177465823999;50.23794785622401
31.465619501600006;9.379473886975997;40.845093388576004
29.062294299600016;8.089807307135999;37.15210160673601
34.692306662600004;8.977075445791998;43.669382108392
56.31223478400001;14.539491072;70.85172585600002
55.921177598000014;14.438522383999999;70.35969998200001
55.53012041200001;14.337553695999997;69.867674108
55.33459181900002;14.287069352;69.62166117100001
54.94353463300001;14.186100664;69.12963529700001
54.55247744700001;14.085131975999998;68.637609423
44.58051920400001;11.510430432;56.09094963600001
44.189462018000015;11.409461744000001;55.59892376200001
43.21181905300001;11.157040024;54.36885907700001
42.23417608800001;10.904618304;53.13879439200001
41.06100453000001;10.601712240000001;51.66271677000002
40.47441875100001;10.450259208;50.92467795900001
39.887832972000005;10.298806176;50.186639148000005
39.10571860000001;10.0968688;49.20258740000001
48.49109106400001;12.520117312;61.01120837600001
47.90450528500001;12.36866428;60.27316956500002
47.673762930200006;12.306591308768;59.980354238968005
45.558609203200014;11.752064402752;57.31067360595201
42.5970402538;10.996400998719999;53.59344125252
37.73772682140001;9.779720584511999;47.51744740591201
35.25408545300001;9.143272409887999;44.39735786288801
33.095915481000006;8.616052593408;41.711968074408006
35.4721274272;9.168176865471997;44.640304292672
35.892867747400004;9.273275388544;45.166143135944004
39.887832972000005;10.298806176;50.186639148000005
39.49677578600001;10.197837488;49.694613274000005
39.10571860000001;10.0968688;49.20258740000001
38.71466141400001;9.995900112000001;48.71056152600001
38.32360422800001;9.894931424000001;48.21853565200001
37.932547042;9.793962735999997;47.726509778
27.765060206000005;7.1687768479999985;34.933837054
27.374003020000007;7.06780816;34.44181118000001
27.765060206000005;7.1687768479999985;34.933837054
28.351645985000008;7.32022988;35.67187586500001
